Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,Economic Hi.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 5 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught * * 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 5 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 9 * * 6 0,0 * *,* 10 0,0 8 *,*,,,,,,,,,
,Gender Stud.. PG Taught * * 0 * *,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 * *,0 6 *,0 * *,0 * 0,0,,,,,,,,,
,Government UG Degree * * 0 * 0,0 * 0,0 8 *,0 5 *,*,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,* * 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,International.. PG Taught 7 0 0 * 0,0 9 *,0 5 *,* * *,*,,,,,,,,,
,International UG Degree * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,International UG Degree 0 0 0 * *,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 11 * 0 5 0,0 12 0,0 * 0,0 12 0,0,,,,,,,,,
,PG Taught 7 * * 6 *,0 6 *,* * *,* 7 *,0,,,,,,,,,
,Management UG Degree 0 0 0 * *,* * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 8 * 0 15 5,* 12 *,* 7 *,* 9 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * 5 *,0 5 *,* * *,* * *,0,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,"Philosophy, .. UG Degree * 0 0 0 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 * *,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 * 0,0 0 0,0 * *,0 * *,*,,,,,,,,,
,PG Taught 0 0 0 * *,* * *,0 * *,* * *,0,,,,,,,,,
,Sociology PG Taught 0 0 0 * 0,0 * *,0 * *,* 8 *,*,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Kazakhstani,Accounting UG Degree * 0 0 * *,* * *,* * *,0 * 0,0,,,,,,,,,
,PG Taught 8 * * * 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Anthropology UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economic UG Degree * * 0 0 0,0 * *,* * 0,0 * *,*,,,,,,,,,
,History PG Taught * * 0 0 0,0 * *,* * *,* 0 0,0,,,,,,,,,
,Economics UG Degree 9 * * 9 *,0 6 0,0 7 *,0 12 0,0,,,,,,,,,
,PG Taught 6 * * * *,0 * *,0 * *,0 * 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 * *,0 * 0,0 5 0,0,,,,,,,,,
,PG Taught 8 0 0 15 *,0 17 *,* 14 *,* 7 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 * 0,0 5 *,0 5 *,*,,,,,,,,,
,and Environ.. PG Taught 5 * * 7 *,0 * 0,0 * *,0 8 *,*,,,,,,,,,
,Government UG Degree * 0 0 6 *,* * 0,0 6 0,0 10 *,0,,,,,,,,,
Kazakhstani,Government PG Taught 10 * * 12 *,* 7 *,0 * *,0 * *,*,,,,,,,,,
,Health Policy PG Taught * * * * *,* * *,* * *,0 * *,*,,,,,,,,,
,International.. PG Taught * 0 0 * 0,0 * *,0 * 0,0 6 *,*,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * *,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 6 0,0 8 *,* * *,0 * *,0,,,,,,,,,
,Language C.. UG Degree * * 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 6 *,* 5 *,0 * 0,0,,,,,,,,,
,Management UG Degree 6 0 0 * 0,0 7 0,0 5 *,* 12 *,*,,,,,,,,,
,PG Taught 21 5 * 27 6,* 18 5,* 12 5,* 11 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 7 * * 8 *,* * *,* 6 *,* 8 *,0,,,,,,,,,
,Methodology PG Taught * 0 0 * *,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 * 0",0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Psychological UG Degree * * 0 * 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,and Behavio.. PG Taught * * 0 * *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * * 0 * 0,0 * 0,0 * *,0 5 *,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * *,* 5 *,0 * *,0 * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * *,0 * 0,0 * *,0,,,,,,,,,
,Statistics UG Degree * * * * 0,0 * 0,0 * *,* * 0,0,,,,,,,,,
,PG Taught * * * * 0,0 * 0,0 * 0,0 5 0,0,,,,,,,,,
Kenyan,Accounting UG Degree * 0 0 * 0,0 7 *,* * *,* * 0,0,,,,,,,,,
,PG Taught * * * * *,* * 0,0 0 0,0 * *,*,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 * *,0 * *,0 * *,*,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 * 0,0 * *,0 * *,*,,,,,,,,,
,History PG Taught 0 0 0 * *,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Economics UG Degree 8 0 0 10 0,0 * 0,0 7 0,0 5 0,0,,,,,,,,,
,PG Taught * * 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 * *,* * *,0 * *,0,,,,,,,,,
,Finance UG Degree * 0 0 * *,* 0 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught 8 0 0 6 0,0 * *,* * 0,0 7 0,0,,,,,,,,,
,Gender Stud.. PG Taught 5 0 0 * *,0 6 *,* 10 6,* 10 *,*,,,,,,,,,
,Geography UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 6 *,0 5 *,0 12 6,* 14 *,0,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 9 * * 10 *,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught 6 * * 9 8,* 7 5,* 7 7,0 18 14,*,,,,,,,,,
,International.. PG Taught 32 11 * 22 8,* 25 11,* 24 5,* 33 8,*,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,History PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * 0,0 * 0,0 5 *,0 6 *,0,,,,,,,,,
,Law School UG Degree 6 * * 5 0,0 10 *,* 8 *,0 5 0,0,,,,,,,,,
,PG Taught 15 6 * * 0,0 17 6,* 11 5,* 14 6,0,,,,,,,,,
Kenyan,Management UG Degree 0 0 0 * 0,0 * 0,0 * *,0 6 *,0,,,,,,,,,
,PG Taught 13 * * 15 9,* 18 10,6 11 *,* 7 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 8 * 0 9 *,* * *,0 12 6,* * *,0,,,,,,,,,
,Methodology PG Taught * * 0 * *,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 0 0,0 5 0,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * * * 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 5 0,0 6 *,* * 0,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught 13 * 0 7 6,* * *,* 5 *,* 11 *,0,,,,,,,,,
,Social Policy UG Degree * * 0 0 0,0 8 *,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * 0 6 *,* 5 *,* * *,* 10 *,0,,,,,,,,,
,Sociology PG Taught * * 0 7 *,* 16 *,0 9 0,0 24 0,0,,,,,,,,,
,Statistics UG Degree 7 * 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 5 *,0 6 *,0 * 0,0 5 0,0,,,,,,,,,
Kiribati,Statistics PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Kosovan,Accounting UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic Hi.. PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * *,0 * *,0 0 0,0,,,,,,,,,
,Geography .. PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 * *,0 0 0,0 * *,0,,,,,,,,,
,International.. UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * *,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * *,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
Kuwaiti,Accounting UG Degree 0 0 0 5 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 * 0,0 * *,* * *,0,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
Kuwaiti,History PG Taught * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 6 * 0 7 *,* * *,0 * 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 8 0,0 * 0,0 * 0,0 7 *,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 0 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Government UG Degree * 0 0 7 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 9 *,* 5 0,0 11 *,0 * *,*,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * 0 0 6 *,0 * *,* * 0,0 * 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 6 *,0 * 0,0 * 0,0,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 10 0 0 6 *,0 * *,* 17 0,0 13 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Media and C.. PG Taught * * * * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 * 0",0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught * * * * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught * * 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
Kyrgyz,Accounting UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Anthropology PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Finance PG Taught * 0 0 * 0,0 * *,0 * *,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Geography .. PG Taught * 0 0 * *,0 * *,0 * *,* * *,*,,,,,,,,,
,Government UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught * 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * * 0 * 0,0 * *,0 5 *,0 10 5,*,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * * 0 * *,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,0 * *,* * *,0,,,,,,,,,
,Mathematics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
Kyrgyz,Methodology PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,"Philosophy, .. PG Taught 0 0 0 0 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * * 0 * *,* * 0,0 * *,0 * 0,0,,,,,,,,,
,Social Policy PG Taught * * 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Sociology PG Taught * 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Laos Peoples Accounting,UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Dem Rep,PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Economics PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography .. PG Taught * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,International.. PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Sociology PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Latvian,Accounting UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * *,* 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * * * * 0,0 * *,* * 0,0 * 0,*,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * * 6 *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Geography UG Degree 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 5 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,International UG Degree * 0 0 * *,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * * * 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * * 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 5 *,* * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 5 *,* * *,0 0 0,0 * 0,0,,,,,,,,,
,Mathematics UG Degree * 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * *",0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Latvian,Social Policy PG Taught * * 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * *,* * 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Lebanese,Accounting UG Degree * 0 0 * 0,0 * 0,0 5 0,0 6 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * *,* * *,* 0 0,0,,,,,,,,,
,Anthropology UG Degree * * 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught * * * 0 0,0 * *,* * *,0 * *,*,,,,,,,,,
,Economics UG Degree * 0 0 11 0,0 14 0,0 5 *,0 6 0,0,,,,,,,,,
,PG Taught * * * 5 *,* * 0,0 * 0,0 * *,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Finance UG Degree 7 * 0 10 *,0 5 0,0 * 0,0 9 0,0,,,,,,,,,
,PG Taught 13 * * 12 *,* 13 *,0 11 *,* 27 *,*,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * *,0 6 *,* 5 *,0 * 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 11 * * 6 *,* 9 *,* 8 0,0 6 *,0,,,,,,,,,
,Government UG Degree 5 0 0 * 0,0 6 0,0 6 *,0 6 0,0,,,,,,,,,
,PG Taught 12 * * 8 *,0 5 *,0 * 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught * 0 0 * *,0 * *,0 * *,0 * *,*,,,,,,,,,
,International.. PG Taught 12 * * 7 *,* 6 5,* 10 7,* 7 5,*,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * *,* * *,* * *,* * 0,0,,,,,,,,,
,Relations PG Taught 6 * 0 8 *,0 * *,* * 0,* 6 0,0,,,,,,,,,
,Law School UG Degree 6 * 0 7 0,0 * 0,0 6 0,0 10 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 5 0,0 * 0,0,,,,,,,,,
,Management UG Degree 8 * 0 12 0,0 7 *,0 9 *,* 5 *,*,,,,,,,,,
,PG Taught 12 * * 19 5,* 11 *,* 15 *,* 12 *,0,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * 0,0 * *,* * *,0,,,,,,,,,
,Media and C.. PG Taught 5 * * * *,0 5 *,* * *,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree * * * * 0",0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * *,* 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
